ensembl,logFC,adj.P.Val,GeneID,Symbol,Group,Disease_BreastCancer_NlogP,Disease_BreastCancer_Score,Disease_BreastCancer_Causing,Disease_ChronicInterstitialCystitis_NlogP,Disease_ChronicInterstitialCystitis_Score,Disease_ChronicInterstitialCystitis_Causing,Disease_ColorectalCancer_NlogP,Disease_ColorectalCancer_Score,Disease_ColorectalCancer_Causing,Disease_DengueDisease_NlogP,Disease_DengueDisease_Score,Disease_DengueDisease_Causing,Disease_DengueHemorrhagicFever_NlogP,Disease_DengueHemorrhagicFever_Score,Disease_DengueHemorrhagicFever_Causing,Disease_DiseasofMentalHealth_NlogP,Disease_DiseasofMentalHealth_Score,Disease_DiseasofMentalHealth_Causing,Disease_HepatosplenicT-CellLymphoma_NlogP,Disease_HepatosplenicT-CellLymphoma_Score,Disease_HepatosplenicT-CellLymphoma_Causing,Disease_LungCancer_NlogP,Disease_LungCancer_Score,Disease_LungCancer_Causing,Disease_LungCancerSusceptibility3_NlogP,Disease_LungCancerSusceptibility3_Score,Disease_LungCancerSusceptibility3_Causing,Disease_ProstateCancer_NlogP,Disease_ProstateCancer_Score,Disease_ProstateCancer_Causing,GO_AntigenBinding_NlogP,GO_AntigenBinding_Score,GO_AntigenBinding_Causing,GO_ComplementActivation_NlogP,GO_ComplementActivation_Score,GO_ComplementActivation_Causing,GO_ComplementActivationClassicalPathway_NlogP,GO_ComplementActivationClassicalPathway_Score,GO_ComplementActivationClassicalPathway_Causing,GO_ExtracellularRegion_NlogP,GO_ExtracellularRegion_Score,GO_ExtracellularRegion_Causing,GO_ExtracellularSpace_NlogP,GO_ExtracellularSpace_Score,GO_ExtracellularSpace_Causing,GO_ImmunoglobulinComplex_NlogP,GO_ImmunoglobulinComplex_Score,GO_ImmunoglobulinComplex_Causing,GO_LeukocyteMigration_NlogP,GO_LeukocyteMigration_Score,GO_LeukocyteMigration_Causing,GO_Opsonization_NlogP,GO_Opsonization_Score,GO_Opsonization_Causing,GO_PeptideCross-linking_NlogP,GO_PeptideCross-linking_Score,GO_PeptideCross-linking_Causing,GO_RegulationofComplementActivation_NlogP,GO_RegulationofComplementActivation_Score,GO_RegulationofComplementActivation_Causing,Path_APCinCellCycleRegulation_NlogP,Path_APCinCellCycleRegulation_Score,Path_APCinCellCycleRegulation_Causing,Path_AuroraBSignaling_NlogP,Path_AuroraBSignaling_Score,Path_AuroraBSignaling_Causing,Path_BindingandUptakeofLigandsByScavengerReceptors_NlogP,Path_BindingandUptakeofLigandsByScavengerReceptors_Score,Path_BindingandUptakeofLigandsByScavengerReceptors_Causing,Path_CellCycleMitotic_NlogP,Path_CellCycleMitotic_Score,Path_CellCycleMitotic_Causing,Path_CollagenFormation_NlogP,Path_CollagenFormation_Score,Path_CollagenFormation_Causing,Path_DegenerationofTheExtracellularMatrix_NlogP,Path_DegenerationofTheExtracellularMatrix_Score,Path_DegenerationofTheExtracellularMatrix_Causing,Path_MatrixMetalloproteinases_NlogP,Path_MatrixMetalloproteinases_Score,Path_MatrixMetalloproteinases_Causing,Path_MitoticPrometaphase_NlogP,Path_MitoticPrometaphase_Score,Path_MitoticPrometaphase_Causing,Path_O2CO2ExchangeinErythrocytes_NlogP,Path_O2CO2ExchangeinErythrocytes_Score,Path_O2CO2ExchangeinErythrocytes_Causing,Path_PLK1SignalingEvents_NlogP,Path_PLK1SignalingEvents_Score,Path_PLK1SignalingEvents_Causing,System_CardiovascularSystem_NlogP,System_CardiovascularSystem_Score,System_CardiovascularSystem_Causing,System_ExtraembryonicTissues_NlogP,System_ExtraembryonicTissues_Score,System_ExtraembryonicTissues_Causing,System_GastrointestinalTract_NlogP,System_GastrointestinalTract_Score,System_GastrointestinalTract_Causing,System_HematopoieticSystem_NlogP,System_HematopoieticSystem_Score,System_HematopoieticSystem_Causing,System_IntegumentarySystem_NlogP,System_IntegumentarySystem_Score,System_IntegumentarySystem_Causing,System_MuscoskeletalSystem_NlogP,System_MuscoskeletalSystem_Score,System_MuscoskeletalSystem_Causing,System_NervousSystem_NlogP,System_NervousSystem_Score,System_NervousSystem_Causing,System_ReproductiveSystem_NlogP,System_ReproductiveSystem_Score,System_ReproductiveSystem_Causing,System_RespiratorySystem_NlogP,System_RespiratorySystem_Score,System_RespiratorySystem_Causing,System_SensoryOrgans_NlogP,System_SensoryOrgans_Score,System_SensoryOrgans_Causing,Tissue_Blood_NlogP,Tissue_Blood_Score,Tissue_Blood_Causing,Tissue_Bone_NlogP,Tissue_Bone_Score,Tissue_Bone_Causing,Tissue_Brain_NlogP,Tissue_Brain_Score,Tissue_Brain_Causing,Tissue_Cartilage_NlogP,Tissue_Cartilage_Score,Tissue_Cartilage_Causing,Tissue_Endothelium_NlogP,Tissue_Endothelium_Score,Tissue_Endothelium_Causing,Tissue_Epithelial_NlogP,Tissue_Epithelial_Score,Tissue_Epithelial_Causing,Tissue_Eye_NlogP,Tissue_Eye_Score,Tissue_Eye_Causing,Tissue_Kidney_NlogP,Tissue_Kidney_Score,Tissue_Kidney_Causing,Tissue_Lung_NlogP,Tissue_Lung_Score,Tissue_Lung_Causing,Tissue_NeuralTube_NlogP,Tissue_NeuralTube_Score,Tissue_NeuralTube_Causing
ENSG00000109180,0.293547337941634,2.75452046133673e-06,54940,OCIAD1,N,0.737858810527271,1.04,0.712674200534821,,,,0.613059740902617,0.58,0.712674200534821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940436136820498,0.21,0.712674200534821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830945478073071,0.41,0.712674200534821,,,,,,,0.609997395328894,1.69,0.712674200534821,0.59654517406664,0.42,0.712674200534821,,,,,,,0.431278650100527,1.35,0.712674200534821,,,,0.561302318987997,2.58,0.712674200534821,,,,,,,0.852221298605971,2.05,0.712674200534821,,,,0.433213149877727,1.03,0.712674200534821,0.268218291459814,1.01,0.712674200534821,,,
ENSG00000126581,0.29350407617285,2.81905263209663e-06,8678,BECN1,N,1.94431246071083,14.09,0.787013113498688,,,,1.65007435036394,7.74,0.787013113498688,,,,,,,1.68079882631474,3.29,0.787013113498688,,,,1.75543244461165,9.65,0.787013113498688,,,,1.27928168075819,1.52,0.787013113498688,,,,,,,,,,,,,0.940436136820498,0.21,0.787013113498688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40932407421248,0.62,0.787013113498688,,,,,,,,,,0.648783275496461,0.43,0.787013113498688,,,,1.71562896648682,3.9,0.787013113498688,1.24235760282535,0.86,0.787013113498688,,,,,,,1.04668536942039,4.63,0.787013113498688,1.29746949002159,1.3,0.787013113498688,1.06468277052232,1.05,0.787013113498688,,,,0.857952630036086,3.21,0.787013113498688,0.842992118644112,2.27,0.787013113498688,0.849323576550283,3.91,0.787013113498688,0.741974490091085,0.17,0.787013113498688,1.24028034476651,0.96,0.787013113498688,1.39598659321802,4.34,0.787013113498688,0.69196169788473,1.23,0.787013113498688,0.747269676739472,1.87,0.787013113498688,1.53397163113712,8.71,0.787013113498688,0.899124418846779,0.61,0.787013113498688
ENSG00000108587,0.297758916609522,3.1054472904254e-06,9527,GOSR1,N,0.583236229439489,0.78,0.0,,,,0.486065457203002,0.11,0.0,,,,,,,,,,,,,0.563539994089892,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00085205929215,0.31,0.0,0.410023703009619,0.75,0.0,,,,,,,,,,0.259869524574723,0.84,0.0,0.401916348221078,0.6,0.0,0.702903393335461,3.2,0.0,,,,,,,0.920279979755356,2.26,0.0,0.34386534533274,0.43,0.0,0.18189262121475,0.55,0.0,0.239836507750971,0.94,0.0,,,
ENSG00000169764,0.290050484306159,3.20791857604951e-06,7360,UGP2,N,0.502373666407295,0.63,0.854289829730988,,,,,,,,,,,,,,,,,,,,,,,,,0.577406685778765,0.11,0.854289829730988,,,,,,,,,,,,,0.940436136820498,0.21,0.854289829730988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58258462469324,0.51,0.854289829730988,0.935418747550851,0.97,0.854289829730988,,,,,,,1.00085205929215,0.31,0.854289829730988,0.857829895972275,3.31,0.854289829730988,0.559940505072571,0.3,0.854289829730988,0.972461006213315,0.83,0.854289829730988,,,,0.443725874292793,1.4,0.854289829730988,0.738977406076523,1.75,0.854289829730988,1.11779085294806,5.45,0.854289829730988,0.729012277135279,0.13,0.854289829730988,,,,0.198027297572373,0.7,0.854289829730988,1.03508853143377,3.13,0.854289829730988,0.500914578241922,1.18,0.854289829730988,0.699140282511854,2.22,0.854289829730988,0.971822337742474,0.73,0.854289829730988
ENSG00000110048,0.291443250673065,3.43187617631546e-06,5007,OSBP,N,0.59667967220395,0.81,0.819363534450531,,,,1.14283778174457,1.51,0.819363534450531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7217753759689,0.46,0.819363534450531,,,,0.571083292399892,0.16,0.819363534450531,,,,,,,,,,0.429764708050548,0.83,0.819363534450531,,,,,,,,,,0.575416714232781,1.88,0.819363534450531,0.0993214029564858,0.09,0.819363534450531,0.315113837799732,1.63,0.819363534450531,0.904283338625357,0.43,0.819363534450531,0.831638132895978,0.17,0.819363534450531,0.492367301490349,1.17,0.819363534450531,0.534962439617919,0.76,0.819363534450531,0.560187790193503,1.33,0.819363534450531,0.294340093083958,1.07,0.819363534450531,,,
ENSG00000144567,0.265876436488995,3.62782944538935e-06,79137,RETREG2,N,,,,,,,,,,,,,,,,,,,,,,0.795305820898197,0.72,0.415841668844223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648783275496461,0.43,0.415841668844223,,,,0.753401445671311,0.49,0.415841668844223,1.15775684311408,0.73,0.415841668844223,,,,,,,0.410023703009619,0.75,0.415841668844223,,,,,,,1.56410121899923,0.54,0.415841668844223,0.421149270836445,1.32,0.415841668844223,0.404328383677029,0.61,0.415841668844223,,,,,,,,,,,,,0.339714038160095,0.43,0.415841668844223,,,,0.322849657743217,1.13,0.415841668844223,,,
ENSG00000177963,0.282183349172271,4.42115415552085e-06,60626,RIC8A,N,0.472010056894365,0.6,0.418080359697342,,,,,,,,,,,,,,,,,,,0.563539994089892,0.1,0.418080359697342,,,,,,,,,,,,,,,,,,,0.940436136820498,0.21,0.418080359697342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.753401445671311,0.49,0.418080359697342,0.602912050620116,0.32,0.418080359697342,,,,,,,0.679901776084826,2.14,0.418080359697342,1.47372963668659,1.65,0.418080359697342,,,,1.56410121899923,0.54,0.418080359697342,0.375342395724017,1.17,0.418080359697342,0.510184241120235,0.9,0.418080359697342,0.441414662798134,2.09,0.418080359697342,1.11712150606719,0.79,0.418080359697342,,,,0.194549498856407,0.68,0.418080359697342,0.419178255879951,0.57,0.418080359697342,0.224638354752403,0.62,0.418080359697342,0.34767745364601,1.2,0.418080359697342,,,
ENSG00000136003,-0.283540101527399,4.81280172343988e-06,23479,ISCU,N,0.472010056894365,0.6,0.641797542572021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940436136820498,0.21,0.641797542572021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01595192987107,1.23,0.641797542572021,1.58258462469324,0.51,0.641797542572021,0.935418747550851,0.97,0.641797542572021,1.31469198785699,0.98,0.641797542572021,,,,1.23968866281953,0.44,0.641797542572021,0.469142420009407,1.01,0.641797542572021,0.801189935172321,0.53,0.641797542572021,1.22372549160621,1.12,0.641797542572021,,,,1.01155886710525,4.2,0.641797542572021,0.755723364226345,1.82,0.641797542572021,0.370321129944098,1.83,0.641797542572021,0.729012277135279,0.13,0.641797542572021,0.710878685783098,0.09,0.641797542572021,0.0140135053501243,0.49,0.641797542572021,0.482741493734319,0.61,0.641797542572021,0.570259744889635,1.35,0.641797542572021,0.671830655817163,2.13,0.641797542572021,,,
ENSG00000109911,-0.294691915423419,5.2606456676964e-06,26610,ELP4,N,,,,,,,,,,,,,,,,,,,,,,0.929155126410809,0.89,0.52858030796051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873956079617292,3.42,0.52858030796051,,,,,,,,,,0.629864049914491,2.11,0.52858030796051,0.714127896334881,1.63,0.52858030796051,0.724926692141909,3.3,0.52858030796051,,,,,,,,,,2.58716652306792,16.96,0.52858030796051,1.38634917596208,5.66,0.52858030796051,0.414333698810987,1.37,0.52858030796051,1.14449675313337,0.8,0.52858030796051
ENSG00000119953,0.266086610606569,5.38804223327753e-06,10285,SMNDC1,N,0.450926529692879,0.57,0.722487807273865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602912050620116,0.32,0.722487807273865,,,,,,,0.272055316332141,0.24,0.722487807273865,,,,,,,,,,0.54440014865552,1.76,0.722487807273865,0.421463667806928,0.67,0.722487807273865,0.888196518731903,4.12,0.722487807273865,,,,,,,0.497207917204375,1.18,0.722487807273865,,,,0.489835580071107,1.15,0.722487807273865,0.772838195951457,2.49,0.722487807273865,0.769721356797561,0.16,0.722487807273865
